[2026-08-29 11:03:18,780] 15 root- INFO -Initiate the data ingestion
[2026-08-29 11:03:21,289] 53 root- INFO -Performed train test split on the dataframe
[2026-08-29 11:03:21,289] 54 root- INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2026-08-29 11:03:21,290] 57 root- INFO -Exporting train and test file path
[2026-08-29 11:03:21,352] 64 root- INFO -Exported train and test file path
[2026-08-29 11:03:21,353] 17 root- INFO -Data Initiation Completed
[2026-08-29 11:03:21,359] 21 root- INFO -Initiate the data Validation
[2026-08-29 11:03:21,390] 32 root- INFO -Required number of columns: 2
[2026-08-29 11:03:21,390] 33 root- INFO -Data frame has columns: 32
[2026-08-29 11:03:21,390] 32 root- INFO -Required number of columns: 2
[2026-08-29 11:03:21,390] 33 root- INFO -Data frame has columns: 32
