[2026-08-29 11:06:27,003] 15 root- INFO -Initiate the data ingestion
[2026-08-29 11:06:29,597] 53 root- INFO -Performed train test split on the dataframe
[2026-08-29 11:06:29,597] 54 root- INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2026-08-29 11:06:29,597] 57 root- INFO -Exporting train and test file path
[2026-08-29 11:06:29,658] 64 root- INFO -Exported train and test file path
[2026-08-29 11:06:29,659] 17 root- INFO -Data Initiation Completed
[2026-08-29 11:06:29,666] 21 root- INFO -Initiate the data Validation
[2026-08-29 11:06:29,697] 32 root- INFO -Required number of columns: 31
[2026-08-29 11:06:29,697] 33 root- INFO -Data frame has columns: 31
[2026-08-29 11:06:29,698] 32 root- INFO -Required number of columns: 31
[2026-08-29 11:06:29,698] 33 root- INFO -Data frame has columns: 31
