[2026-08-29 11:04:36,624] 15 root- INFO -Initiate the data ingestion
[2026-08-29 11:04:39,442] 53 root- INFO -Performed train test split on the dataframe
[2026-08-29 11:04:39,442] 54 root- INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2026-08-29 11:04:39,443] 57 root- INFO -Exporting train and test file path
[2026-08-29 11:04:39,503] 64 root- INFO -Exported train and test file path
[2026-08-29 11:04:39,503] 17 root- INFO -Data Initiation Completed
[2026-08-29 11:04:39,512] 21 root- INFO -Initiate the data Validation
[2026-08-29 11:04:39,541] 32 root- INFO -Required number of columns: 2
[2026-08-29 11:04:39,541] 33 root- INFO -Data frame has columns: 31
[2026-08-29 11:04:39,541] 32 root- INFO -Required number of columns: 2
[2026-08-29 11:04:39,541] 33 root- INFO -Data frame has columns: 31
